1;bell;0.049580006641590284
2;propriété;0.013008456302019073
3;physique quantique;0.007329035969455789
4;particule;0.005479420814165499
5;intrication;0.005100281168725842
6;axe;0.004615797208040238
7;intrication quantique;0.00454144579822463
8;physique;0.004335712844813803
9;seconde particule;0.003986068518308211
10;vitesse de la lumière;0.003809058542675887
11;réalité objective;0.0037865774393730754
12;monde sensible de l' homme;0.003748997739136138
13;spin sur l' axe;0.0036157550801388027
14;mesure;0.003584636608476813
15;inégalité de bell;0.0034232940150424524
16;composantes de spin;0.0034232940150424524
17;boules;0.0033059466550848736
18;lumière;0.0032729020319229485
19;espagnat;0.0030658277636940816
20;physiciens;0.0029842750499827846
21;théorie quantique;0.0029593037800774505
22;objets familiers;0.0029593037800774505
23;composante;0.0029338847565188973
24;gravitation;0.0029330103841572505
25;orientations;0.0029330103841572505
26;relativité générale;0.002865324956583557
27;variables à tout instant ultérieur;0.0028310933865138724
28;particules;0.0027979994565542096
29;investigation;0.0027316344781587415
30;propriété d' une particule;0.0027176527824385927
31;espace;0.002712684221906639
32;loi des grands nombres;0.002575101088021999
33;moyens d' investigation;0.0025556626947566465
34;école de copenhague;0.0025556626947566465
35;appelé état propre;0.0025556626947566465
36;composante de spin;0.0025556626947566465
37;série d' expériences;0.0025556626947566465
38;inégalités de bell;0.0025556626947566465
39;nouvelle théorie;0.0025494570321194323
40;compte;0.0025347777158251563
41;exemple;0.00253337732798588
42;sens;0.0025196281169966757
43;précision;0.0024694742405369174
44;postulat;0.0024584070756953364
45;urnes;0.0024584070756953364
46;objet;0.002447779725578761
47;physique classique;0.002446935100419126
48;michelson et morley;0.002429203181060411
49;b-;0.002377002458021154
50;observateurs;0.00237680320479153
51;urne;0.0023460411616676694
52;laboratoire;0.0023304549242202095
53;interaction;0.002319313918138914
54;mesures;0.0023150338984325954
55;expérience sensorielle;0.0022970642827252466
56;objets extraits;0.0022970642827252466
57;paire intriquée;0.0022970642827252466
58;inégalité suivante;0.0022970642827252466
59;expérience 2;0.0022970642827252466
60;expérience 3;0.0022970642827252466
61;axes;0.0022742593366708724
62;train;0.002235175651418435
63;résultat positif;0.0021943878725879627
64;mécanique quantique;0.0021943878725879627
65;temps;0.0021689282505684524
66;propriétés;0.0021512858194360223
67;cadre;0.0021412693067627197
68;limitation;0.0021117232000672707
69;vitesses;0.002093876555212172
70;expériences;0.002091909716238658
71;fer;0.0020901190720880552
72;monde;0.002076389440589339
73;inégalité;0.0020443915137027748
74;déplacement;0.0020367888456153554
75;ailleurs;0.002008489334530814
76;soleil;0.001962197203563555
77;états;0.0018705391359804628
78;mouvement;0.0018324586420821766
79;nature;0.001824652739103869
80;expérience;0.0018077623672362899
81;théorie;0.0018011365265120398
82;stats;0.0017872807685537573
83;bohr;0.0017872807685537573
84;superposition d' états;0.0017872807685537573
85;composantes du spin;0.0017872807685537573
86;nord;0.0017681065863352442
87;part;0.001750629713657727
88;probabilités;0.0016848315561782212
89;photons;0.0016546906684505413
90;débat;0.0016171650420061534
91;terme;0.0015883988249406511
92;spin;0.001577839162752272
93;limite posée à notre connaissance;0.001567417291644894
94;patrons d' entreprises , managers;0.001567417291644894
95;homme du centre du monde;0.001567417291644894
96;mise en perspective historique 1.1;0.001567417291644894
97;inquisition pour cause de vision;0.001567417291644894
98;défaut majeur de ce modèle;0.001567417291644894
99;grand livre de la nature;0.001567417291644894
100;seraient autant de systèmes solaires;0.001567417291644894
101;rapport à un repère stellaire;0.001567417291644894
102;temps mathématique à quatre dimensions;0.001567417291644894
103;prédiction inattendue de la théorie;0.001567417291644894
104;– 300.000 km par seconde;0.001567417291644894
105;présence d' un champ gravitationnel;0.001567417291644894
106;grand nombre de prédictions confirmées;0.001567417291644894
107;statut de la nouvelle théorie;0.001567417291644894
108;objet de la théorie physique;0.001567417291644894
109;concept de “ réalité ”;0.001567417291644894
110;possession de son bon sens;0.001567417291644894
111;compte-rendu de la réalité objective;0.001567417291644894
112;champ de la physique quantique;0.001567417291644894
113;ensemble très grand de molécules;0.001567417291644894
114;volume de gaz par exemple;0.001567417291644894
115;milliards d' équations de chacune;0.001567417291644894
116;intérêt d' utiliser les probabilités;0.001567417291644894
117;équations de la physique classique;0.001567417291644894
118;résultat obtenu par werner heisenberg;0.001567417291644894
119;indétermination de deux variables conjuguées;0.001567417291644894
120;théories dites à variables cachées;0.001567417291644894
121;évolution d' un système quantique;0.001567417291644894
122;exemple de ce chat mort;0.001567417291644894
123;physique quantique , richard feynman;0.001567417291644894
124;imagerie médicale , les portables;0.001567417291644894
125;viol éventuel de cette inégalité;0.001567417291644894
126;format poche de 200 pages;0.001567417291644894
127;boules et des cubes mettons;0.001567417291644894
128;électrons , protons , etc.;0.001567417291644894
129;vecteur orienté dans l' espace;0.001567417291644894
130;valeurs desdites “ propriétés ”;0.001567417291644894
131;probabilité qu' il soit sélectionné;0.001567417291644894
132;loi de conservation du spin;0.001567417291644894
133;spin de l' autre particule;0.001567417291644894
134;“ état d' intrication quantique;0.001567417291644894
135;2ème particule sur l' axe;0.001567417291644894
136;1ère particule sur l' axe;0.001567417291644894
137;grace à l' intrication quantique;0.001567417291644894
138;mesure des composantes du spin;0.001567417291644894
139;lors de la première expérience;0.001567417291644894
140;lors de cette première expérience;0.001567417291644894
141;cours de l' expérience 1;0.001567417291644894
142;particules de la catégorie a+b-;0.001567417291644894
143;cadre d' une théorie réaliste;0.001567417291644894
144;objets dans les trois urnes;0.001567417291644894
145;catégorie a+b- de l' expérience;0.001567417291644894
146;nombre de particules de chacune;0.001567417291644894
